Data,Hora,Consumo_kWh,Producao_kWh,Mibel_Eur_kWh,Carga_Bateria_kWh,Descarga_Bateria_kWh,SoC_kWh,Compra_Rede_kWh,Venda_Rede_kWh,Custo_Sem_Bateria_Eur,Custo_Com_Bateria_Eur
2025/02/01,00:15,78.5,0.0,0.13718,0.0,0.0,0.0,78.5,0.0,10.76863,10.76863
2025/02/01,00:30,73.5,0.0,0.13718,0.0,0.0,0.0,73.5,0.0,10.08273,10.08273
2025/02/01,00:45,77.5,0.0,0.13718,0.0,0.0,0.0,77.5,0.0,10.63145,10.63145
2025/02/01,01:00,80.5,0.0,0.12961,0.0,0.0,0.0,80.5,0.0,10.433605,10.433605
2025/02/01,01:15,72.25,0.0,0.12961,0.0,0.0,0.0,72.25,0.0,9.3643225,9.3643225
2025/02/01,01:30,77.5,0.0,0.12961,0.0,0.0,0.0,77.5,0.0,10.044775,10.044775
2025/02/01,01:45,77.5,0.0,0.12961,0.0,0.0,0.0,77.5,0.0,10.044775,10.044775
2025/02/01,02:00,67.25,0.0,0.12438,0.0,0.0,0.0,67.25,0.0,8.364555000000001,8.364555000000001
2025/02/01,02:15,64.5,0.0,0.12438,0.0,0.0,0.0,64.5,0.0,8.02251,8.02251
2025/02/01,02:30,67.5,0.0,0.12438,0.0,0.0,0.0,67.5,0.0,8.39565,8.39565
2025/02/01,02:45,70.75,0.0,0.12438,0.0,0.0,0.0,70.75,0.0,8.799885,8.799885
2025/02/01,03:00,68.5,0.0,0.11696,0.0,0.0,0.0,68.5,0.0,8.011759999999999,8.011759999999999
2025/02/01,03:15,72.0,0.0,0.11696,0.0,0.0,0.0,72.0,0.0,8.42112,8.42112
2025/02/01,03:30,72.0,0.0,0.11696,0.0,0.0,0.0,72.0,0.0,8.42112,8.42112
2025/02/01,03:45,70.25,0.0,0.11696,0.0,0.0,0.0,70.25,0.0,8.21644,8.21644
2025/02/01,04:00,66.25,0.0,0.10473,81.75,0.0,81.75,148.0,0.0,6.9383625,15.50004
2025/02/01,04:15,66.0,0.0,0.10473,91.5,0.0,173.25,157.5,0.0,6.91218,16.494975
2025/02/01,04:30,67.75,0.0,0.10473,89.75,0.0,263.0,157.5,0.0,7.0954575,16.494975
2025/02/01,04:45,72.5,0.0,0.10473,85.0,0.0,348.0,157.5,0.0,7.592925,16.494975
2025/02/01,05:00,74.25,0.0,0.10817,0.0,74.25,273.75,0.0,0.0,8.031622500000001,0.0
2025/02/01,05:15,75.75,0.0,0.10817,0.0,75.75,198.0,0.0,0.0,8.193877500000001,0.0
2025/02/01,05:30,72.5,0.0,0.10817,0.0,72.5,125.5,0.0,0.0,7.842325,0.0
2025/02/01,05:45,75.0,0.0,0.10817,0.0,75.0,50.5,0.0,0.0,8.11275,0.0
2025/02/01,06:00,27.5,0.0,0.10749,0.0,27.5,23.0,0.0,0.0,2.955975,0.0
2025/02/01,06:15,7.25,0.0,0.10749,0.0,7.25,15.75,0.0,0.0,0.7793025,0.0
2025/02/01,06:30,8.0,0.0,0.10749,0.0,8.0,7.75,0.0,0.0,0.85992,0.0
2025/02/01,06:45,7.75,0.0,0.10749,0.0,7.75,0.0,0.0,0.0,0.8330475,0.0
2025/02/01,07:00,7.5,0.0,0.10085,0.0,0.0,0.0,7.5,0.0,0.756375,0.756375
2025/02/01,07:15,7.25,0.0,0.10085,0.0,0.0,0.0,7.25,0.0,0.7311624999999999,0.7311624999999999
2025/02/01,07:30,6.0,0.0,0.10085,0.0,0.0,0.0,6.0,0.0,0.6051,0.6051
2025/02/01,07:45,6.0,0.0,0.10085,43.457,0.0,43.457,49.457,0.0,0.6051,4.98773845
2025/02/01,08:00,5.75,0.1103975,0.11528,0.0,5.6396025,37.817397,0.0,0.0,0.6501333761999999,0.0
2025/02/01,08:15,6.0,0.1103975,0.11528,0.0,5.8896025,31.927795,0.0,0.0,0.6789533762,0.0
2025/02/01,08:30,6.5,0.1103975,0.11528,0.0,6.3896025,25.538192,0.0,0.0,0.7365933761999999,0.0
2025/02/01,08:45,6.5,0.1103975,0.11528,0.0,6.3896025,19.14859,0.0,0.0,0.7365933761999999,0.0
2025/02/01,09:00,6.25,1.4628525,0.10993,0.0,4.7871475,14.361442,0.0,0.0,0.526251124675,0.0
2025/02/01,09:15,6.25,1.4628525,0.10993,0.0,4.7871475,9.574295,0.0,0.0,0.526251124675,0.0
2025/02/01,09:30,6.0,1.4628525,0.10993,0.0,4.5371475,5.0371475,0.0,0.0,0.49876862467499994,0.0
2025/02/01,09:45,6.5,1.4628525,0.10993,0.0,5.0371475,0.0,0.0,0.0,0.553733624675,0.0
2025/02/01,10:00,6.25,3.9805925,0.06527,0.0,0.0,0.0,2.2694075,0.0,0.14812422752499999,0.14812422752499999
2025/02/01,10:15,6.25,3.9805925,0.06527,0.0,0.0,0.0,2.2694075,0.0,0.14812422752499999,0.14812422752499999
2025/02/01,10:30,6.0,3.9805925,0.06527,0.0,0.0,0.0,2.0194075,0.0,0.13180672752499997,0.13180672752499997
2025/02/01,10:45,6.25,3.9805925,0.06527,0.0,0.0,0.0,2.2694075,0.0,0.14812422752499999,0.14812422752499999
2025/02/01,11:00,6.0,6.0563825,0.0201,0.0563825,0.0,0.0563825,0.0,0.0,0.0,0.0
2025/02/01,11:15,6.25,6.0563825,0.0201,0.0,0.0563825,0.0,0.137235,0.0,0.0038917117500000043,0.0027584235
2025/02/01,11:30,6.0,6.0563825,0.0201,0.0563825,0.0,0.0563825,0.0,0.0,0.0,0.0
2025/02/01,11:45,8.5,6.0563825,0.0201,0.0,0.0563825,0.0,2.387235,0.0,0.04911671175000001,0.0479834235
2025/02/01,12:00,7.25,7.394455,0.0053,0.144455,0.0,0.144455,0.0,0.0,0.0,0.0
2025/02/01,12:15,1.0,7.394455,0.0053,6.394455,0.0,6.53891,0.0,0.0,0.0,0.0
2025/02/01,12:30,0.75,7.394455,0.0053,6.644455,0.0,13.183365,0.0,0.0,0.0,0.0
2025/02/01,12:45,0.75,7.394455,0.0053,6.644455,0.0,19.82782,0.0,0.0,0.0,0.0
2025/02/01,13:00,0.75,7.789115,0.0052,7.039115,0.0,26.866935,0.0,0.0,0.0,0.0
2025/02/01,13:15,0.75,7.789115,0.0052,7.039115,0.0,33.90605,0.0,0.0,0.0,0.0
2025/02/01,13:30,0.75,7.789115,0.0052,7.039115,0.0,40.945165,0.0,0.0,0.0,0.0
2025/02/01,13:45,0.75,7.789115,0.0052,7.039115,0.0,47.98428,0.0,0.0,0.0,0.0
2025/02/01,14:00,0.75,7.3299075,0.00506,125.0,0.0,172.98428,118.42009,0.0,0.0,0.5992056554
2025/02/01,14:15,0.75,7.3299075,0.00506,125.0,0.0,297.98428,118.42009,0.0,0.0,0.5992056554
2025/02/01,14:30,1.0,7.3299075,0.00506,125.0,0.0,422.98428,118.67009,0.0,0.0,0.6004706554
2025/02/01,14:45,0.75,7.3299075,0.00506,125.0,0.0,547.98428,118.42009,0.0,0.0,0.5992056554
2025/02/01,15:00,0.75,5.8499725,0.0052,18.45352,0.0,566.4378,13.353548,0.0,0.0,0.0694384496
2025/02/01,15:15,1.0,5.8499725,0.0052,125.0,0.0,691.4378,120.15003,0.0,0.0,0.624780156
2025/02/01,15:30,0.75,5.8499725,0.0052,125.0,0.0,816.4378,119.90003,0.0,0.0,0.623480156
2025/02/01,15:45,0.75,5.8499725,0.0052,125.0,0.0,941.4378,119.90003,0.0,0.0,0.623480156
2025/02/01,16:00,0.75,3.653715,0.04188,2.903715,0.0,944.34152,0.0,0.0,0.0,0.0
2025/02/01,16:15,1.0,3.653715,0.04188,2.653715,0.0,946.99523,0.0,0.0,0.0,0.0
2025/02/01,16:30,0.75,3.653715,0.04188,2.903715,0.0,949.89895,0.0,0.0,0.0,0.0
2025/02/01,16:45,0.75,3.653715,0.04188,2.903715,0.0,952.80266,0.0,0.0,0.0,0.0
2025/02/01,17:00,0.75,0.220795,0.105,0.0,0.529205,952.27346,0.0,0.0,0.055566525,0.0
2025/02/01,17:15,1.0,0.220795,0.105,0.0,0.779205,951.49425,0.0,0.0,0.081816525,0.0
2025/02/01,17:30,1.0,0.220795,0.105,0.0,0.779205,950.71505,0.0,0.0,0.081816525,0.0
2025/02/01,17:45,1.0,0.220795,0.105,0.0,0.779205,949.93584,0.0,0.0,0.081816525,0.0
2025/02/01,18:00,0.75,0.0,0.14034,0.0,0.75,949.18584,0.0,0.0,0.10525499999999999,0.0
2025/02/01,18:15,1.0,0.0,0.14034,0.0,1.0,948.18584,0.0,0.0,0.14034,0.0
2025/02/01,18:30,1.0,0.0,0.14034,0.0,1.0,947.18584,0.0,0.0,0.14034,0.0
2025/02/01,18:45,1.0,0.0,0.14034,0.0,1.0,946.18584,0.0,0.0,0.14034,0.0
2025/02/01,19:00,0.75,0.0,0.16298,0.0,0.75,945.43584,0.0,0.0,0.12223500000000001,0.0
2025/02/01,19:15,1.0,0.0,0.16298,0.0,1.0,944.43584,0.0,0.0,0.16298,0.0
2025/02/01,19:30,1.0,0.0,0.16298,0.0,1.0,943.43584,0.0,0.0,0.16298,0.0
2025/02/01,19:45,1.0,0.0,0.16298,0.0,1.0,942.43584,0.0,0.0,0.16298,0.0
2025/02/01,20:00,1.0,0.0,0.1566,0.0,1.0,941.43584,0.0,0.0,0.1566,0.0
2025/02/01,20:15,1.0,0.0,0.1566,0.0,1.0,940.43584,0.0,0.0,0.1566,0.0
2025/02/01,20:30,0.75,0.0,0.1566,0.0,0.75,939.68584,0.0,0.0,0.11745,0.0
2025/02/01,20:45,1.0,0.0,0.1566,0.0,1.0,938.68584,0.0,0.0,0.1566,0.0
2025/02/01,21:00,1.0,0.0,0.14524,0.0,1.0,937.68584,0.0,0.0,0.14524,0.0
2025/02/01,21:15,1.0,0.0,0.14524,0.0,1.0,936.68584,0.0,0.0,0.14524,0.0
2025/02/01,21:30,1.0,0.0,0.14524,0.0,1.0,935.68584,0.0,0.0,0.14524,0.0
2025/02/01,21:45,1.0,0.0,0.14524,0.0,1.0,934.68584,0.0,0.0,0.14524,0.0
2025/02/01,22:00,0.75,0.0,0.14173,0.0,0.75,933.93584,0.0,0.0,0.10629749999999999,0.0
2025/02/01,22:15,1.0,0.0,0.14173,0.0,1.0,932.93584,0.0,0.0,0.14173,0.0
2025/02/01,22:30,1.0,0.0,0.14173,0.0,1.0,931.93584,0.0,0.0,0.14173,0.0
2025/02/01,22:45,1.0,0.0,0.14173,0.0,1.0,930.93584,0.0,0.0,0.14173,0.0
2025/02/01,23:00,1.0,0.0,0.13174,0.0,1.0,929.93584,0.0,0.0,0.13174,0.0
2025/02/01,23:15,1.0,0.0,0.13174,0.0,1.0,928.93584,0.0,0.0,0.13174,0.0
2025/02/01,23:30,1.0,0.0,0.13174,0.0,1.0,927.93584,0.0,0.0,0.13174,0.0
2025/02/01,23:45,1.0,0.0,0.13174,0.0,1.0,926.93584,0.0,0.0,0.13174,0.0
2025/02/02,00:00,0.75,0.0,0.13326,0.0,0.75,926.18584,0.0,0.0,0.09994499999999999,0.0
2025/02/02,00:15,1.0,0.0,0.13326,0.0,1.0,925.18584,0.0,0.0,0.13326,0.0
2025/02/02,00:30,1.0,0.0,0.13326,0.0,1.0,924.18584,0.0,0.0,0.13326,0.0
2025/02/02,00:45,1.0,0.0,0.13326,0.0,1.0,923.18584,0.0,0.0,0.13326,0.0
2025/02/02,01:00,1.0,0.0,0.12691,0.0,1.0,922.18584,0.0,0.0,0.12691,0.0
2025/02/02,01:15,1.0,0.0,0.12691,0.0,1.0,921.18584,0.0,0.0,0.12691,0.0
2025/02/02,01:30,1.0,0.0,0.12691,0.0,1.0,920.18584,0.0,0.0,0.12691,0.0
2025/02/02,01:45,1.0,0.0,0.12691,0.0,1.0,919.18584,0.0,0.0,0.12691,0.0
2025/02/02,02:00,0.75,0.0,0.11691,0.0,0.75,918.43584,0.0,0.0,0.0876825,0.0
2025/02/02,02:15,1.0,0.0,0.11691,0.0,1.0,917.43584,0.0,0.0,0.11691,0.0
2025/02/02,02:30,1.0,0.0,0.11691,0.0,1.0,916.43584,0.0,0.0,0.11691,0.0
2025/02/02,02:45,1.0,0.0,0.11691,0.0,1.0,915.43584,0.0,0.0,0.11691,0.0
2025/02/02,03:00,1.0,0.0,0.11364,0.0,1.0,914.43584,0.0,0.0,0.11364,0.0
2025/02/02,03:15,1.0,0.0,0.11364,0.0,1.0,913.43584,0.0,0.0,0.11364,0.0
2025/02/02,03:30,0.75,0.0,0.11364,0.0,0.75,912.68584,0.0,0.0,0.08523,0.0
2025/02/02,03:45,1.0,0.0,0.11364,0.0,1.0,911.68584,0.0,0.0,0.11364,0.0
2025/02/02,04:00,1.0,0.0,0.108,0.0,1.0,910.68584,0.0,0.0,0.108,0.0
2025/02/02,04:15,1.0,0.0,0.108,0.0,1.0,909.68584,0.0,0.0,0.108,0.0
2025/02/02,04:30,1.0,0.0,0.108,0.0,1.0,908.68584,0.0,0.0,0.108,0.0
2025/02/02,04:45,1.0,0.0,0.108,0.0,1.0,907.68584,0.0,0.0,0.108,0.0
2025/02/02,05:00,1.0,0.0,0.11691,0.0,1.0,906.68584,0.0,0.0,0.11691,0.0
2025/02/02,05:15,1.0,0.0,0.11691,0.0,1.0,905.68584,0.0,0.0,0.11691,0.0
2025/02/02,05:30,0.75,0.0,0.11691,0.0,0.75,904.93584,0.0,0.0,0.0876825,0.0
2025/02/02,05:45,1.0,0.0,0.11691,0.0,1.0,903.93584,0.0,0.0,0.11691,0.0
2025/02/02,06:00,1.0,0.0,0.1135,0.0,1.0,902.93584,0.0,0.0,0.1135,0.0
2025/02/02,06:15,1.0,0.0,0.1135,0.0,1.0,901.93584,0.0,0.0,0.1135,0.0
2025/02/02,06:30,1.0,0.0,0.1135,0.0,1.0,900.93584,0.0,0.0,0.1135,0.0
2025/02/02,06:45,1.0,0.0,0.1135,0.0,1.0,899.93584,0.0,0.0,0.1135,0.0
2025/02/02,07:00,0.75,0.0,0.12042,0.0,0.75,899.18584,0.0,0.0,0.090315,0.0
2025/02/02,07:15,1.25,0.0,0.12042,0.0,1.25,897.93584,0.0,0.0,0.150525,0.0
2025/02/02,07:30,1.25,0.0,0.12042,0.0,1.25,896.68584,0.0,0.0,0.150525,0.0
2025/02/02,07:45,1.0,0.0,0.12042,0.0,1.0,895.68584,0.0,0.0,0.12042,0.0
